ID Date gender age handiness kind user truth accurate
Íô²Ó 2021-01-29 10:50:07.205712+00:00 male 26 right cartoon happy happy 1
Íô²Ó 2021-01-29 10:50:07.205712+00:00 male 26 right cartoon sad sad 1
Íô²Ó 2021-01-29 10:50:07.205712+00:00 male 26 right cartoon neutral neutral 1
Íô²Ó 2021-01-29 10:50:07.205712+00:00 male 26 right cartoon sad sad 1
Íô²Ó 2021-01-29 10:50:07.205712+00:00 male 26 right cartoon neutral neutral 1
Íô²Ó 2021-01-29 10:50:07.205712+00:00 male 26 right cartoon sad sad 1
Íô²Ó 2021-01-29 10:50:07.205712+00:00 male 26 right cartoon neutral neutral 1
Íô²Ó 2021-01-29 10:50:07.205712+00:00 male 26 right cartoon neutral neutral 1
Íô²Ó 2021-01-29 10:50:07.205712+00:00 male 26 right cartoon sad sad 1
Íô²Ó 2021-01-29 10:50:07.205712+00:00 male 26 right cartoon sad sad 1
Íô²Ó 2021-01-29 10:50:07.205712+00:00 male 26 right cartoon happy happy 1
Íô²Ó 2021-01-29 10:50:07.205712+00:00 male 26 right cartoon happy happy 1
Íô²Ó 2021-01-29 10:50:07.205712+00:00 male 26 right cartoon happy happy 1
Íô²Ó 2021-01-29 10:50:07.205712+00:00 male 26 right cartoon happy happy 1
Íô²Ó 2021-01-29 10:50:07.205712+00:00 male 26 right cartoon neutral neutral 1
Íô²Ó 2021-01-29 10:50:07.205712+00:00 male 26 right cartoon sad sad 1
Íô²Ó 2021-01-29 10:50:07.205712+00:00 male 26 right cartoon sad sad 1
Íô²Ó 2021-01-29 10:50:07.205712+00:00 male 26 right cartoon neutral neutral 1
Íô²Ó 2021-01-29 10:50:07.205712+00:00 male 26 right cartoon happy happy 1
Íô²Ó 2021-01-29 10:50:07.205712+00:00 male 26 right cartoon neutral neutral 1
Íô²Ó 2021-01-29 10:50:07.205712+00:00 male 26 right cartoon neutral neutral 1
Íô²Ó 2021-01-29 10:50:07.205712+00:00 male 26 right cartoon happy happy 1
Íô²Ó 2021-01-29 10:50:07.205712+00:00 male 26 right cartoon happy happy 1
Íô²Ó 2021-01-29 10:50:07.205712+00:00 male 26 right cartoon happy happy 1
Íô²Ó 2021-01-29 10:50:07.205712+00:00 male 26 right cartoon neutral neutral 1
Íô²Ó 2021-01-29 10:50:07.205712+00:00 male 26 right cartoon happy happy 1
Íô²Ó 2021-01-29 10:50:07.205712+00:00 male 26 right cartoon neutral neutral 1
Íô²Ó 2021-01-29 10:50:07.205712+00:00 male 26 right cartoon sad sad 1
Íô²Ó 2021-01-29 10:50:07.205712+00:00 male 26 right cartoon happy happy 1
Íô²Ó 2021-01-29 10:50:07.205712+00:00 male 26 right cartoon sad sad 1
Íô²Ó 2021-01-29 10:50:07.205712+00:00 male 26 right cartoon neutral neutral 1
Íô²Ó 2021-01-29 10:50:07.205712+00:00 male 26 right cartoon sad sad 1
Íô²Ó 2021-01-29 10:50:07.205712+00:00 male 26 right cartoon neutral neutral 1
Íô²Ó 2021-01-29 10:50:07.205712+00:00 male 26 right cartoon sad sad 1
Íô²Ó 2021-01-29 10:50:07.205712+00:00 male 26 right cartoon happy happy 1
Íô²Ó 2021-01-29 10:50:07.205712+00:00 male 26 right cartoon sad sad 1
Íô²Ó 2021-01-29 10:50:07.205712+00:00 male 26 right cartoon sad sad 1
Íô²Ó 2021-01-29 10:50:07.205712+00:00 male 26 right cartoon happy happy 1
Íô²Ó 2021-01-29 10:50:07.205712+00:00 male 26 right cartoon neutral neutral 1
Íô²Ó 2021-01-29 10:50:07.205712+00:00 male 26 right cartoon sad sad 1
